schedule_uuid,term_code,Avg_A rate,Var_A rate,start_time,end_time,mon,tues,wed,thurs,fri,sat,sun
6b727e88-ba13-369d-80b8-6fb27a97baea,1182,1,0,480,900,false,false,false,true,true,false,false
6c6d67de-db5f-3ccd-8cbd-84a323370621,1182,1,0,980,1100,true,false,false,false,false,false,false
6d17b5fa-f198-37d9-a9d4-04445a07a350,1182,1,0,780,960,false,false,true,false,false,false,false
6d1ccd79-f510-3169-9e0b-06277b6867a0,1182,1,0,1140,1290,false,false,false,true,false,false,false
6ded0ddb-ea79-3e99-8d30-59f2dbf521a2,1182,1,0,660,735,false,false,false,false,true,false,false
6e12c82e-1ac5-3bd6-abfb-0146695d5c00,1182,1,0,540,705,false,false,false,true,false,false,false
6e1a77fb-d9e4-39b3-b78f-6c3de918b1f4,1182,1,0,540,750,false,false,false,true,false,false,false
6e7b8ec0-1aea-36c8-8e0e-0704785d6009,1182,1,0,930,1080,false,false,true,false,false,false,false
6fcccbb7-0232-395e-a75c-35b76def8a76,1182,1,0,690,840,false,false,false,false,true,false,false
71b20a29-4ac0-39f3-abfb-87867440ac69,1182,1,0,720,810,false,false,true,false,false,false,false
72642d34-d7be-3a31-8dd0-1a849306763a,1182,1,0,715,860,false,false,true,false,false,false,false
72e095ef-fa2c-3538-8f5e-3eaf7daeda82,1182,1,0,1020,1095,false,true,false,false,false,false,false
7334123b-594c-3239-acf5-a9a16d053085,1182,1,0,720,780,true,false,true,false,false,false,false
73391171-a11f-3b7a-8429-590afcf7df2c,1182,1,0,1050,1140,false,true,false,false,false,false,false
735537de-f36b-38f1-8567-d1cd11a59e09,1182,1,0,795,915,false,false,true,false,false,false,false
742a1d3b-83b3-3704-97f1-ffda2a0489c6,1182,1,0,865,985,false,false,true,false,false,false,false
7436c2a0-dbd0-3eda-96f0-3123a9a5382c,1182,1,0,510,720,false,false,true,false,false,false,false
7440f174-fb06-31d4-93c7-90824129afc8,1182,1,0,600,750,false,true,false,false,false,false,false
74a468f4-bc36-3c5a-ab79-84de6eba93e5,1182,1,0,900,1015,false,false,false,true,false,false,false
75c5a38c-cf1b-39d6-b33d-25bdb459674f,1182,1,0,870,970,false,false,true,false,false,false,false
75cc4755-669d-341c-9bff-13fa64fbe202,1182,1,0,595,710,true,false,true,false,true,false,false
75d0ddf3-f287-3e7e-8776-234a1a98964f,1182,1,0,1000,1150,false,false,false,true,false,false,false
7711b3bc-c2e3-3a0e-b700-75c35f2636d0,1182,1,0,680,730,true,false,false,false,false,false,false
7814c67a-91e1-375a-9327-22842b9e1403,1182,1,0,1050,1165,false,true,false,false,false,false,false
78935223-2eff-3929-bb48-fb670b2242cf,1182,1,0,960,1140,true,false,false,false,false,false,false
7944211d-95d9-3bf5-9a9b-351ef9718e6f,1182,1,0,940,1055,false,true,false,false,false,false,false
